,Binary
0,5.08675170738225
1,-0.8918143497501001
2,-0.8918143497501001
3,-0.8918143497501001
4,-0.8918143497501001
5,-0.8918143497501001
6,-0.8918143497501001
7,-0.8918143497501001
8,-0.8918143497501001
9,-0.7953850279322401
10,-0.7953850279322401
11,-0.7953850279322401
12,-0.7953850279322401
13,-0.7953850279322401
14,-0.7953850279322401
15,-0.7953850279322401
16,-0.7953850279322401
17,0.15515082341180353
18,0.15515082341180353
19,0.15515082341180353
20,0.15515082341180353
21,0.15515082341180353
22,0.15515082341180353
23,0.15515082341180353
24,0.15515082341180353
25,0.6614426401065967
26,0.6614426401065967
27,0.6614426401065967
28,0.6614426401065967
29,0.6614426401065967
30,0.6614426401065967
31,0.6614426401065967
32,0.6614426401065967
33,0.5776815994699551
34,0.5776815994699551
35,0.5776815994699551
36,0.5776815994699551
37,0.5776815994699551
38,0.5776815994699551
39,0.5776815994699551
40,0.5776815994699551
41,0.9353182136748235
42,0.9353182136748235
43,0.9353182136748235
44,0.9353182136748235
45,0.9353182136748235
46,0.9353182136748235
47,0.9353182136748235
48,0.9353182136748235
